Sheet Name,Column Name,Unique Column Name,Description,Data Type,Unit,Categories,Epicollect Recommended Type,Plotting Column Name,Retain?,Processing/Collection Recommendations,Data Quality Issues
COVID-19 Infection,required_hospitalization,COVID-19Infection_required_hospitalization,Whether COVID-19 infection required hospital admission,Boolean,N/A,"Yes, No",Radio,Required Hospitalization,Yes,"Only applicable if had_covid19 is ""Yes""",Some inconsistencies with previous question
COVID-19 Infection,covid19_severity,COVID-19Infection_covid19_severity,Severity of COVID-19 infection,Categorical,N/A,"Mild, Moderate, Severe",Dropdown,COVID-19 Severity,Yes,"Only applicable if had_covid19 is ""Yes""",Some entries don't match predefined categories
COVID-19 Infection,required_icu_admission,COVID-19Infection_required_icu_admission,Whether COVID-19 infection required ICU admission,Boolean,N/A,"Yes, No",Radio,Required ICU Admission,Yes,"Only applicable if required_hospitalization is ""Yes""",Some inconsistencies with previous questions
COVID-19 Infection,hospitalization_duration,COVID-19Infection_hospitalization_duration,Duration of hospital stay for COVID-19,Categorical,N/A,"1 week, 2 weeks, 3 weeks, 1 month or more, Never",Dropdown,Hospitalization Duration,Yes,Consider using a numeric field for more precise data,Some entries include exact durations
COVID-19 Infection,rehabilitation_details,COVID-19Infection_rehabilitation_details,Details of rehabilitation after COVID-19,String,N/A,N/A,Text,Rehabilitation Details,Yes,Consider creating structured fields for common rehab types,Highly variable free-text responses
Checklist for Samples,participant_id,ChecklistforSamples_participant_id,Unique identifier for participant,String,N/A,N/A,Text,Participant ID,Yes,Ensure consistent format across all sheets,Some inconsistencies in format
Checklist for Samples,screening_completed,ChecklistforSamples_screening_completed,Whether screening was completed,Boolean,N/A,"Yes, No",Radio,Screening Completed,Yes,Consider adding date of screening,Some entries include additional details
Checklist for Samples,wrist_tag_given,ChecklistforSamples_wrist_tag_given,Whether wrist tag was given,Boolean,N/A,"Yes, No",Radio,Wrist Tag Given,Yes,Consider adding tag number if applicable,Some entries include tag numbers
Checklist for Samples,urine_sample_collected,ChecklistforSamples_urine_sample_collected,Whether urine sample was collected,Boolean,N/A,"Yes, No",Radio,Urine Sample Collected,Yes,Consider adding sample quality information,Some entries include quality notes
Checklist for Samples,blood_sample_collected,ChecklistforSamples_blood_sample_collected,Whether blood sample was collected,Boolean,N/A,"Yes, No",Radio,Blood Sample Collected,Yes,Consider adding sample quality information,Some entries include quality notes
Checklist for Samples,cheek_swab_collected,ChecklistforSamples_cheek_swab_collected,Whether cheek swab was collected,Boolean,N/A,"Yes, No",Radio,Cheek Swab Collected,Yes,Consider adding sample quality information,Some entries include quality notes
Checklist for Samples,hair_sample_collected,ChecklistforSamples_hair_sample_collected,Whether hair sample was collected,Boolean,N/A,"Yes, No",Radio,Hair Sample Collected,Yes,Consider adding sample quality information,Some entries include quality notes
Checklist for Samples,physical_exam_completed,ChecklistforSamples_physical_exam_completed,Whether physical examination was completed,Boolean,N/A,"Yes, No",Radio,Physical Exam Completed,Yes,Consider adding date of examination,Some entries include additional details
Checklist for Samples,stool_kit_given,ChecklistforSamples_stool_kit_given,Whether stool kit was given,Boolean,N/A,"Yes, No",Radio,Stool Kit Given,Yes,Consider adding follow-up for kit return,Some entries include additional notes
Checklist for Samples,sample_collection_date,ChecklistforSamples_sample_collection_date,Date when the biological samples were collected,Date,,,Date,Sample Collection Date,Yes,,
Checklist for Samples,sample_collection_time,ChecklistforSamples_sample_collection_time,Time when the biological samples were collected,Time,,,Time,Sample Collection Time,Yes,,
Physical Examination,participant_id,PhysicalExamination_participant_id,Unique identifier for participant,String,N/A,N/A,Text,Participant ID,Yes,Ensure consistent format across all sheets,Some inconsistencies in format
Physical Examination,anthropometry_completed,PhysicalExamination_anthropometry_completed,Whether anthropometry measurements were taken,Boolean,N/A,"Yes, No",Radio,Anthropometry Completed,Yes,Ensure consistency with Anthropometry sheet,Some inconsistencies with Anthropometry data
Physical Examination,head_to_toe_exam_completed,PhysicalExamination_head_to_toe_exam_completed,Whether head-to-toe examination was completed,Boolean,N/A,"Yes, No",Radio,Head-to-Toe Exam Completed,Yes,Consider adding specific findings fields,Some entries include examination details
Physical Examination,pallor_present,PhysicalExamination_pallor_present,Presence of pallor,Boolean,N/A,"Present, Absent",Radio,Pallor Present,Yes,Consider adding severity scale if present,Some entries include severity details
Physical Examination,pallor_details,PhysicalExamination_pallor_details,Details of pallor if present,String,N/A,N/A,Text,Pallor Details,Yes,Consider creating structured fields for common observations,Highly variable free-text responses
Physical Examination,icterus_present,PhysicalExamination_icterus_present,Presence of icterus,Boolean,N/A,"Present, Absent",Radio,Icterus Present,Yes,Consider adding severity scale if present,Some entries include severity details
Physical Examination,icterus_details,PhysicalExamination_icterus_details,Details of icterus if present,String,N/A,N/A,Text,Icterus Details,Yes,Consider creating structured fields for common observations,Highly variable free-text responses
Physical Examination,cyanosis_present,PhysicalExamination_cyanosis_present,Presence of cyanosis,Boolean,N/A,"Present, Absent",Radio,Cyanosis Present,Yes,Consider adding severity scale if present,Some entries include severity details
Physical Examination,cyanosis_details,PhysicalExamination_cyanosis_details,Details of cyanosis if present,String,N/A,N/A,Text,Cyanosis Details,Yes,Consider creating structured fields for common observations,Highly variable free-text responses
Physical Examination,clubbing_present,PhysicalExamination_clubbing_present,Presence of clubbing,Boolean,N/A,"Present, Absent",Radio,Clubbing Present,Yes,Consider adding severity scale if present,Some entries include severity details
Physical Examination,clubbing_details,PhysicalExamination_clubbing_details,Details of clubbing if present,String,N/A,N/A,Text,Clubbing Details,Yes,Consider creating structured fields for common observations,Highly variable free-text responses
Physical Examination,lymphadenopathy_present,PhysicalExamination_lymphadenopathy_present,Presence of lymphadenopathy,Boolean,N/A,"Palpable, Non-palpable",Radio,Lymphadenopathy Present,Yes,Consider adding location and size information,Some entries include additional details
Physical Examination,lymphadenopathy_details,PhysicalExamination_lymphadenopathy_details,Details of lymphadenopathy if present,String,N/A,N/A,Text,Lymphadenopathy Details,Yes,Consider creating structured fields for location and size,Highly variable free-text responses
Physical Examination,edema_present,PhysicalExamination_edema_present,Presence of edema,Boolean,N/A,"Present, Absent",Radio,Edema Present,Yes,Consider adding severity and location information,Some entries include additional details
Physical Examination,edema_details,PhysicalExamination_edema_details,Details of edema if present,String,N/A,N/A,Text,Edema Details,Yes,Consider creating structured fields for severity and location,Highly variable free-text responses
Physical Examination,thyroid_condition,PhysicalExamination_thyroid_condition,Condition of thyroid,Categorical,N/A,"Normal, Enlarged",Dropdown,Thyroid Condition,Yes,Consider adding more detailed categories if needed,Some entries include additional observations
Physical Examination,thyroid_details,PhysicalExamination_thyroid_details,Details of thyroid if abnormal,String,N/A,N/A,Text,Thyroid Details,Yes,Consider creating structured fields for common findings,Highly variable free-text responses
Physical Examination,breath_holding_time,PhysicalExamination_breath_holding_time,Breath holding time or single breath counting test result,String,N/A,N/A,Text,Breath Holding Time,Yes,Convert to numeric field with consistent unit (seconds),"Some entries include units, some are descriptive"
Physical Examination,walking_speed_category,PhysicalExamination_walking_speed_category,Category of walking speed for 15 feet,Categorical,N/A,"<7 sec, >7 sec",Dropdown,Walking Speed Category,Yes,Consider adding actual time in seconds as a separate field,Some entries include exact times
Physical Examination,hand_grip_strength,PhysicalExamination_hand_grip_strength,Hand grip strength test result,Float,kg,N/A,Numeric,Hand Grip Strength (kg),Yes,"Ensure consistent unit use, validate range","Some entries include units, some are descriptive"
Physical Examination,has_refractory_error,PhysicalExamination_has_refractory_error,Presence of refractory error,Boolean,N/A,"Yes, No",Radio,Has Refractory Error,Yes,Consider adding type of refractory error,Some entries include error types
Physical Examination,refractory_error_duration,PhysicalExamination_refractory_error_duration,Duration of refractory error,String,N/A,N/A,Text,Refractory Error Duration,Yes,Convert to numeric field with consistent unit (years),"Highly variable formats (e.g., ""5 years"", ""since childhood"")"
Physical Examination,last_eye_exam_category,PhysicalExamination_last_eye_exam_category,Category of time since last ophthalmology consultation,Categorical,N/A,"Within 1 year, More than 1 year ago",Dropdown,Last Eye Exam Category,Yes,Consider adding exact date of last exam,Some entries include exact dates
Physical Examination,vision_additional_details,PhysicalExamination_vision_additional_details,Additional details about vision,String,N/A,N/A,Text,Vision Additional Details,Yes,Consider creating structured fields for common observations,Highly variable free-text responses
Physical Examination,has_hearing_difficulties,PhysicalExamination_has_hearing_difficulties,Presence of hearing aid or difficulty in hearing,Boolean,N/A,"Yes, No",Radio,Has Hearing Difficulties,Yes,Consider separating hearing aid use and hearing difficulty,Some entries specify aid use vs. general difficulty
Physical Examination,hearing_difficulty_duration,PhysicalExamination_hearing_difficulty_duration,Duration of hearing difficulties,String,N/A,N/A,Text,Hearing Difficulty Duration,Yes,Convert to numeric field with consistent unit (years),"Highly variable formats (e.g., ""3 years"", ""since birth"")"
Physical Examination,last_ent_exam_category,PhysicalExamination_last_ent_exam_category,Category of time since last ENT consultation,Categorical,N/A,"Within 1 year, More than 1 year ago",Dropdown,Last ENT Exam Category,Yes,Consider adding exact date of last exam,Some entries include exact dates
Physical Examination,hearing_additional_details,PhysicalExamination_hearing_additional_details,Additional details about hearing,String,N/A,N/A,Text,Hearing Additional Details,Yes,Consider creating structured fields for common observations,Highly variable free-text responses
Physical Examination,systemic_exam_completed,PhysicalExamination_systemic_exam_completed,Whether systemic examination was completed,Boolean,N/A,"Yes, No",Radio,Systemic Exam Completed,Yes,Ensure consistency with Systemic Examination sheet,Some inconsistencies with Systemic Examination data
Physical Examination,mmse_completed,PhysicalExamination_mmse_completed,Whether MMSE was completed,Boolean,N/A,"Yes, No",Radio,MMSE Completed,Yes,Ensure consistency with MMSE sheet,Some inconsistencies with MMSE data
Physical Examination,frailty_assessment_completed,PhysicalExamination_frailty_assessment_completed,Whether Simple Frail Questionnaire was completed,Boolean,N/A,"Yes, No",Radio,Frailty Assessment Completed,Yes,Ensure consistency with Frailty Assessment sheet,Some inconsistencies with Frailty Assessment data
Personal Data,participant_id,PersonalData_participant_id,Unique identifier for participant,String,N/A,N/A,Text,Participant ID,Yes,Ensure consistent format across all sheets,Some inconsistencies in format
Personal Data,habits_data_collected,PersonalData_habits_data_collected,Whether habits data was collected,Boolean,N/A,"Yes, No",Radio,Habits Data Collected,Yes,Ensure consistency with Habits sheet,Some inconsistencies with Habits data
Personal Data,dietary_pattern_data_collected,PersonalData_dietary_pattern_data_collected,Whether dietary pattern data was collected,Boolean,N/A,"Yes, No",Radio,Dietary Pattern Data Collected,Yes,Ensure consistency with Dietary Pattern sheet,Some inconsistencies with Dietary Pattern data
Personal Data,exercise_habits_data_collected,PersonalData_exercise_habits_data_collected,Whether exercise habits data was collected,Boolean,N/A,"Yes, No",Radio,Exercise Habits Data Collected,Yes,Ensure consistency with Exercise Habits sheet,Some inconsistencies with Exercise Habits data
Personal Data,food_frequency_data_collected,PersonalData_food_frequency_data_collected,Whether food frequency data was collected,Boolean,N/A,"Yes, No",Radio,Food Frequency Data Collected,Yes,Ensure consistency with Food Frequency List sheet,Some inconsistencies with Food Frequency data
Personal Data,covid19_data_collected,PersonalData_covid19_data_collected,Whether COVID-19 infection data was collected,Boolean,N/A,"Yes, No",Radio,COVID-19 Data Collected,Yes,Ensure consistency with COVID-19 Infection sheet,Some inconsistencies with COVID-19 data
Personal Data,medical_history_collected,PersonalData_medical_history_collected,Whether medical history was collected,Boolean,N/A,"Yes, No",Radio,Medical History Collected,Yes,Consider adding structured fields for common conditions,Some entries include specific conditions
Personal Data,dass21_completed,PersonalData_dass21_completed,Whether DASS-21 scale was completed,Boolean,N/A,"Yes, No",Radio,DASS-21 Completed,Yes,Ensure consistency with DASS-21 sheet if exists,Some inconsistencies with DASS-21 data if collected separately
Screening Test,personal_info_collected,ScreeningTest_personal_info_collected,Whether personal information was collected,Boolean,N/A,"Yes, No",Radio,Personal Info Collected,Yes,Ensure consistency with Personal Information sheet,Some inconsistencies with Personal Information data
Screening Test,vitals_collected,ScreeningTest_vitals_collected,Whether vital signs were collected,Boolean,N/A,"Yes, No",Radio,Vitals Collected,Yes,Ensure consistency with Vitals sheet,Some inconsistencies with Vitals data
Screening Test,comorbidities_collected,ScreeningTest_comorbidities_collected,Whether comorbidities information was collected,Boolean,N/A,"Yes, No",Radio,Comorbidities Collected,Yes,Ensure consistency with Co-Morbidities sheet,Some inconsistencies with Co-Morbidities data
Screening Test,recent_alcohol_consumption,ScreeningTest_recent_alcohol_consumption,Category of recent alcohol consumption,Categorical,N/A,"<1 week back, >1 week back",Dropdown,Recent Alcohol Consumption,Yes,Consider adding more precise timeframe options,Some entries include specific dates
Screening Test,exclusion_criteria_present,ScreeningTest_exclusion_criteria_present,List of any exclusion criteria present,String,N/A,N/A,Text,Exclusion Criteria Present,Yes,Consider creating checkbox list for specific criteria,Some entries list multiple criteria
Screening Test,meets_inclusion_criteria,ScreeningTest_meets_inclusion_criteria,Whether patient met inclusion criteria,Boolean,N/A,"Yes, No",Radio,Meets Inclusion Criteria,Yes,"Add field for specifying which criteria were not met if ""No""",Some entries include reasons for exclusion
Screening Test,exclusion_criteria_details,ScreeningTest_exclusion_criteria_details,Details of exclusion criteria if any,String,N/A,N/A,Text,Exclusion Criteria Details,Yes,Only applicable if exclusion criteria present,Some entries include details when not necessary
Screening Test,study_group,ScreeningTest_study_group,Assigned study group,Categorical,N/A,"1A, 1B, 2A, 2B, 3A, 3B, 4A, 4B, 5A, 5B",Dropdown,Study Group,Yes,Ensure consistency with group assignments in other sheets,Some inconsistencies in group labeling
Screening Test,participant_id,ScreeningTest_participant_id,Unique identifier for participant,String,N/A,N/A,Text,Participant ID,Yes,"Ensure consistent format (e.g., ""1A-001"") across all sheets",Some inconsistencies in ID format
Screening Test,collection_city,ScreeningTest_collection_city,City where data was collected,Categorical,N/A,"Bengaluru, Mumbai",Dropdown,Collection City,Yes,Consider adding option for other cities if needed,Some entries include other city names
Screening Test,collection_center,ScreeningTest_collection_center,Specific center where data was collected,Categorical,N/A,"Ramaiah Memorial Hospital, Bangalore Medical College, SMSIMSR, Baptist Hospital",Dropdown,Collection Center,Yes,Consider adding option for other centers if needed,Some entries include other center names
DASS 21 Scale,difficulty_wind_down,DASS21Scale_difficulty_wind_down,Difficulty to wind down,Integer,N/A,0-3,Numeric,Difficulty to Wind Down,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,dry_mouth_awareness,DASS21Scale_dry_mouth_awareness,Awareness of dryness of mouth,Integer,N/A,0-3,Numeric,Dry Mouth Awareness,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,positive_feeling_absence,DASS21Scale_positive_feeling_absence,Couldn't seem to experience any positive feeling,Integer,N/A,0-3,Numeric,Absence of Positive Feelings,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,breathing_difficulty,DASS21Scale_breathing_difficulty,Experienced breathing difficulty,Integer,N/A,0-3,Numeric,Breathing Difficulty,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,difficulty_work_up_initiative,DASS21Scale_difficulty_work_up_initiative,Difficulty to work up initiative,Integer,N/A,0-3,Numeric,Difficulty in Initiative,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,over_reaction_tendency,DASS21Scale_over_reaction_tendency,Tendency to over-react to situations,Integer,N/A,0-3,Numeric,Over-reaction Tendency,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,trembling_experience,DASS21Scale_trembling_experience,Experience of trembling,Integer,N/A,0-3,Numeric,Trembling Experience,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,nervous_energy_usage,DASS21Scale_nervous_energy_usage,Felt using a lot of nervous energy,Integer,N/A,0-3,Numeric,Nervous Energy Usage,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,worry_about_panic_situations,DASS21Scale_worry_about_panic_situations,Worry about situations to panic and make a fool of self,Integer,N/A,0-3,Numeric,Worry About Panic Situations,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,feeling_no_positive_prospects,DASS21Scale_feeling_no_positive_prospects,Feeling of nothing to look forward to,Integer,N/A,0-3,Numeric,No Positive Prospects,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,agitation_experience,DASS21Scale_agitation_experience,Found self getting agitated,Integer,N/A,0-3,Numeric,Agitation Experience,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,feeling_downhearted_blue,DASS21Scale_feeling_downhearted_blue,Felt down-hearted and blue,Integer,N/A,0-3,Numeric,Feeling Down-hearted,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,intolerance_to_interruptions,DASS21Scale_intolerance_to_interruptions,Intolerance of anything keeping from getting on,Integer,N/A,0-3,Numeric,Intolerance to Interruptions,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,feeling_close_to_panic,DASS21Scale_feeling_close_to_panic,Felt close to panic,Integer,N/A,0-3,Numeric,Feeling Close to Panic,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,inability_to_enthusiasm,DASS21Scale_inability_to_enthusiasm,Unable to become enthusiastic about anything,Integer,N/A,0-3,Numeric,Inability to Enthusiasm,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,difficulty_to_relax,DASS21Scale_difficulty_to_relax,Difficulty to relax,Integer,N/A,0-3,Numeric,Difficulty to Relax,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,feeling_worthless,DASS21Scale_feeling_worthless,Felt worthless,Integer,N/A,0-3,Numeric,Feeling Worthless,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,irritability,DASS21Scale_irritability,Felt rather touchy,Integer,N/A,0-3,Numeric,Irritability,Yes,Validate range (0-3),Some entries out of range
DASS 21 Scale,heart_action_awareness,DASS21Scale_heart_action_awareness,Awareness of heart action in absence of physical exertion,Integer,N/A,0-3,Numeric,Heart Action Awareness,Yes,Validate range (0-3),Some entries out of range
